Time,ABSOLUTE_TIME,Plane_Altitude,Indicated_Altitude,Airspeed_True,Airspeed_Indicated,Plane_Pitch_Degrees,Plane_Bank_Degrees,Plane_Heading_Degrees_True,Plane_Heading_Degrees_Magnetic,Acceleration_Body_X,Acceleration_Body_Y,Acceleration_Body_Z,Plane_Latitude,Plane_Longitude,Incidence_Alpha,Incidence_Beta,Rotation_Velocity_Body_X,Rotation_Velocity_Body_Y,Rotation_Velocity_Body_Z,General_Eng_RPM_1,General_Eng_RPM_2,General_Eng_RPM_3,General_Eng_RPM_4,Elevator_Deflection,Rudder_Deflection,Aileron_Left_Deflection,Aileron_Right_Deflection,Trailing_Edge_Flaps_Left_Angle,Trailing_Edge_Flaps_Right_Angle,Leading_Edge_Flaps_Left_Angle,Leading_Edge_Flaps_Right_Angle,Spoilers_Left_Position,Spoilers_Right_Position,Gear_Center_Position,Gear_Left_Position,Gear_Right_Position
6.277702332,63726135147,1967.265725,1973.232178,119.9124146,117.3915482,9.274792421,6.908482082,280.6646648,267.7907682,-0.174580677,0.651656427,0.036476664,34.15258761,-118.3710896,5.305794681,1.930560226,-2.469510024,-3.939480769,2.131144702,3725.231083,3725.254006,0,0,0.630692408,0,1.569860651,2.616434418,42,42,0,0,0,0,1,1,1
6.388801575,63726135147,1962.81837,1968.593384,119.889473,117.2767639,9.299724319,6.985599803,280.3453998,267.4715033,-0.176218228,0.535518872,0.021577984,34.15259899,-118.3711461,4.844976759,2.08669088,1.986508719,-2.944850855,0.747931516,3726.537021,3726.560023,0,0,0.52336819,0,1.663751919,2.772919866,42,42,0,0,0,0,1,1,1
6.444396973,63726135148,1959.214378,1964.810913,119.8934784,117.212616,9.581274108,6.985681385,280.1796348,267.3057383,-0.178568265,0.38502181,0.009355578,34.15260837,-118.3711934,4.258084216,2.158932297,4.489292574,-2.175096203,0.071470488,3727.587394,3727.610461,0,0,0.916239489,0,1.055962752,1.75993792,42,42,0,0,0,0,1,1,1
6.499900818,63726135148,1955.005709,1960.43689,119.8835526,117.1705017,10.07975241,7.009800598,280.0767356,267.202839,-0.179053662,0.215504226,0.000357025,34.15261942,-118.37125,3.532871806,2.18044163,5.810294877,-1.354028452,1.10474799,3728.809062,3728.832203,0,0,0.916239489,0,0.011121876,0.01853646,42,42,0,0,0,0,1,1,1
6.666595459,63726135148,1948.505879,1953.793701,120.0203552,117.1889877,10.94219955,7.30391482,280.0736409,267.1997444,-0.176638134,-0.013188898,-0.0044708,34.15263641,-118.3713387,2.568020927,2.050223433,5.731447187,-0.200822452,2.729749644,3730.793068,3730.816319,0,0,0.960927742,0,0,0,42,42,0,0,0,0,1,1,1
6.777702332,63726135148,1943.834188,1949.086426,120.0090179,117.2116928,11.47482282,7.627344155,280.1630187,267.2891222,-0.175579944,-0.119287697,-0.002518537,34.15264838,-118.3714023,2.098180966,1.864892653,4.676156058,0.530048841,3.121158675,3732.209999,3732.233325,0,0,0.787953833,0,0,0,42,42,0,0,0,0,1,1,1
6.833297729,63726135148,1940.484731,1945.777832,120.0419312,117.2320557,11.77253625,7.874673158,280.2620061,267.3881095,-0.173080147,-0.171435532,-0.000472521,34.15265679,-118.3714475,1.891344481,1.679289413,3.704892268,0.988371046,2.981579843,3733.216133,3733.23951,0,0,0.872508998,0,0.357500637,0.595834395,42,42,0,0,0,0,1,1,1
6.999900818,63726135148,1932.723155,1938.126831,120.1227951,117.3027802,12.17708238,8.31255441,280.5659395,267.6920429,-0.166368618,-0.20552119,0.004302149,34.15267566,-118.3715504,1.705191197,1.175934993,1.65243168,1.800100639,1.468112655,3735.539251,3735.562741,0,0,0.707326782,0,0.633374624,1.055624373,42,42,0,0,0,0,1,1,1
7.111000061,63726135148,1928.667072,1934.134888,120.1622238,117.3441086,12.25361806,8.444130414,280.7486788,267.8747822,-0.161029659,-0.186897586,0.006174685,34.15268518,-118.371603,1.753852987,0.874239828,0.757636033,2.062756858,0.695314613,3736.747994,3736.771538,0,0,0.707326782,0,0.763532908,1.272554847,42,42,0,0,0,0,1,1,1
7.222099304,63726135148,1924.111045,1929.645508,120.2528687,117.4111481,12.25689912,8.469658721,280.9608723,268.0869757,-0.146894627,-0.164015144,0.006553884,34.15269563,-118.3716613,1.855767947,0.549390108,-0.006197634,2.241171761,-1.643433931,3738.154209,3738.177811,0,0,0.787953833,0,3.123605835,5.206009725,42,42,0,0,0,0,1,1,1
